item,wpl_uom,wpl
757,LBS_PER_FT,0.376
765,LBS_PER_FT,0.511
766,LBS_PER_FT,0.511
767,LBS_PER_FT,0.511
768,LBS_PER_FT,0.511
769,LBS_PER_FT,0.511
770,LBS_PER_FT,0.511
772,LBS_PER_FT,0.511
773,LBS_PER_FT,0.511
781,LBS_PER_FT,0.668
782,LBS_PER_FT,0.668
783,LBS_PER_FT,0.668
784,LBS_PER_FT,0.668
785,LBS_PER_FT,0.668
786,LBS_PER_FT,0.668
788,LBS_PER_FT,0.668
789,LBS_PER_FT,0.668
790,LBS_PER_FT,0.668
791,LBS_PER_FT,0.668
792,LBS_PER_FT,0.668
798,LBS_PER_FT,0.754
799,LBS_PER_FT,0.845
801,LBS_PER_FT,0.845
802,LBS_PER_FT,0.845
803,LBS_PER_FT,0.845
805,LBS_PER_FT,0.845
806,LBS_PER_FT,0.845
807,LBS_PER_FT,0.845
808,LBS_PER_FT,0.845
809,LBS_PER_FT,0.845
813,LBS_PER_FT,0.941
814,LBS_PER_FT,1.04
815,LBS_PER_FT,1.04
816,LBS_PER_FT,1.04
817,LBS_PER_FT,1.04
818,LBS_PER_FT,1.04
819,LBS_PER_FT,1.04
821,LBS_PER_FT,1.04
822,LBS_PER_FT,1.04
823,LBS_PER_FT,1.04
824,LBS_PER_FT,1.04
825,LBS_PER_FT,1.04
828,LBS_PER_FT,1.11
830,LBS_PER_FT,1.15
831,LBS_PER_FT,1.26
832,LBS_PER_FT,1.26
833,LBS_PER_FT,1.26
834,LBS_PER_FT,1.26
835,LBS_PER_FT,1.26
836,LBS_PER_FT,1.26
837,LBS_PER_FT,1.26
842,LBS_PER_FT,1.5
843,LBS_PER_FT,1.5
844,LBS_PER_FT,1.5
845,LBS_PER_FT,1.5
846,LBS_PER_FT,1.5
847,LBS_PER_FT,1.5
849,LBS_PER_FT,1.5
850,LBS_PER_FT,1.5
851,LBS_PER_FT,1.5
852,LBS_PER_FT,1.5
854,LBS_PER_FT,1.503
855,LBS_PER_FT,1.5
857,LBS_PER_FT,1.5
860,LBS_PER_FT,1.63
861,LBS_PER_FT,1.76
862,LBS_PER_FT,1.76
863,LBS_PER_FT,1.76
864,LBS_PER_FT,1.76
865,LBS_PER_FT,1.76
867,LBS_PER_FT,1.76
868,LBS_PER_FT,1.76
870,LBS_PER_FT,2.04
871,LBS_PER_FT,2.04
872,LBS_PER_FT,2.04
873,LBS_PER_FT,2.04
874,LBS_PER_FT,1.44
875,LBS_PER_FT,2.04
876,LBS_PER_SFT,130
877,LBS_PER_FT,2.04
878,LBS_PER_FT,2.04
879,LBS_PER_FT,2.04
880,LBS_PER_FT,2.04
881,LBS_PER_FT,2.04
882,LBS_PER_FT,2.04
883,LBS_PER_FT,2.04
887,LBS_PER_FT,2.347
888,LBS_PER_FT,2.35
889,LBS_PER_FT,2.35
891,LBS_PER_FT,2.35
892,LBS_PER_FT,2.35
894,LBS_PER_FT,2.35
896,LBS_PER_FT,2.67
897,LBS_PER_FT,2.67
898,LBS_PER_FT,2.67
899,LBS_PER_FT,2.67
900,LBS_PER_FT,2.67
901,LBS_PER_FT,2.67
903,LBS_PER_FT,2.67
904,LBS_PER_FT,3.38
905,LBS_PER_FT,2.67
906,LBS_PER_FT,2.67
907,LBS_PER_FT,2.67
908,LBS_PER_FT,2.673
910,LBS_PER_FT,2.67
912,LBS_PER_FT,2.67
916,LBS_PER_FT,3.01
917,LBS_PER_FT,3.01
918,LBS_PER_FT,3.01
919,LBS_PER_FT,3.01
920,LBS_PER_FT,3.01
921,LBS_PER_FT,3.01
922,LBS_PER_FT,3.01
923,LBS_PER_FT,3.014
925,LBS_PER_FT,3.38
926,LBS_PER_FT,3.38
927,LBS_PER_FT,3.38
928,LBS_PER_FT,10.1981
929,LBS_PER_FT,3.38
930,LBS_PER_FT,3.38
931,LBS_PER_FT,3.38
932,LBS_PER_FT,3.38
933,LBS_PER_FT,3.38
934,LBS_PER_FT,3.38
935,LBS_PER_FT,125.626
936,LBS_PER_FT,3.77
937,LBS_PER_FT,3.77
938,LBS_PER_FT,3.77
939,LBS_PER_FT,3.77
940,LBS_PER_FT,3.77
941,LBS_PER_FT,3.77
942,LBS_PER_FT,3.77
943,LBS_PER_FT,3.77
